Title,Course Id,Type,Completion Status,Start Date,Completed Date,Length,Length Unit,Attempts
Claude Code for Non-Programmers: Automating Daily Tasks,5358020,Online Course,Completed,6/22/2026,6/22/2026,2279,Seconds,1
Data Security for Python,PSL120674.00,Online Course,Completed,6/22/2026,6/22/2026,2891,Seconds,1
First Look: Anthropic Claude Fable 5,PSL126420.00,Online Course,Completed,6/22/2026,6/22/2026,2147,Seconds,1
Generative AI for Procurement,PSL123493.00,Online Course,Completed,6/22/2026,6/22/2026,1255,Seconds,1
Google Workspace: Google Docs,PSL109561.00,Online Course,Completed,6/22/2026,6/22/2026,2688,Seconds,1
Leading the Shift: The future of generative AI for scientific discovery | Microsoft Research,6054056,Online Course,Completed,6/22/2026,6/22/2026,1738,Seconds,1
Managing Hybrid Human-AI Teams,PSL113491.00,Online Course,Completed,6/22/2026,6/22/2026,3297,Seconds,1
"Agents, Tools, and Planning Foundations with LangChain",PSL96737.00,Online Course,Completed,6/16/2026,6/16/2026,7598,Seconds,1
"Memory, State, and Conversational Applications in LangChain",PSL91610.00,Online Course,Completed,6/16/2026,6/16/2026,6563,Seconds,1
Agile Transformation: Executive Briefing,PSL17931042.00,Online Course,Completed,6/15/2026,6/15/2026,,,1
AI Agents for Everyday Professionals: Simple Automations to Speed Up Your Work (No Code Required),7131004,Online Course,Completed,6/15/2026,6/15/2026,2886,Seconds,1
APIs Explained,PSL78584.00,Online Course,Completed,6/15/2026,6/15/2026,2153,Seconds,1
BI - Business Intelligence: Executive Briefing,PSL1157802418.00,Online Course,Completed,6/15/2026,6/15/2026,,,1
Can Customers Find Your Brand? Marketing Strategies for AI-Driven Search,27512003,Online Course,Completed,6/15/2026,6/15/2026,959,Seconds,1
Change Management: How to Avoid the Hero Trap,27507015,Online Course,Completed,6/15/2026,6/15/2026,843,Seconds,1
Culture of Learning: Executive Briefing,PSL1285910198.00,Online Course,Completed,6/15/2026,6/15/2026,,,1
Cyber Security: Executive Briefing,PSL515277646.00,Online Course,Completed,6/15/2026,6/15/2026,,,1
Developing an Agile Mindset: Executive Briefing,PSL1538935168.00,Online Course,Completed,6/15/2026,6/15/2026,,,1
GenAI Security Foundations,PSL99954.00,Online Course,Completed,6/15/2026,6/15/2026,1730,Seconds,1
How Procter & Gamble Uses AI to Unlock New Insights From Data,8261012,Online Course,Completed,6/15/2026,6/15/2026,700,Seconds,1
Human-Centered Design: Executive Briefing,PSL7681.00,Online Course,Completed,6/15/2026,6/15/2026,,,1
Introduction to Model Context Protocol by Anthropic,6615007,Online Course,Completed,6/15/2026,6/15/2026,3690,Seconds,1
Kanban: Executive Briefing,PSL1234007309.00,Online Course,Completed,6/15/2026,6/15/2026,,,1
Master NotebookLM: Build Your Own AI Research Assistant (No Code Required),7715000,Online Course,Completed,6/15/2026,6/15/2026,1988,Seconds,1
Mastering AI-Assisted Development,10666010,Online Course,Completed,6/15/2026,6/15/2026,10379,Seconds,1
Satya Nadella and Rishi Sunak on What Comes Next for AI,5777000,Online Course,Completed,6/15/2026,6/15/2026,1920,Seconds,1
Scrum: Executive Briefing,PSL1745041067.00,Online Course,Completed,6/15/2026,6/15/2026,,,1
Self-Coaching for Leadership Impact,7076000,Online Course,Completed,6/15/2026,6/15/2026,1552,Seconds,1
Sustainability & Technology: Executive Briefing,PSL8014.00,Online Course,Completed,6/15/2026,6/15/2026,,,1
Tech Ethics: Executive Briefing,PSL3445.00,Online Course,Completed,6/15/2026,6/15/2026,,,1
The CEO’s Playbook for Difficult Board Directors,8250000,Online Course,Completed,6/15/2026,6/15/2026,688,Seconds,1
Web Development: Executive Briefing,PSL873718832.00,Online Course,Completed,6/15/2026,6/15/2026,,,1
What Is TDD and Why It Is Not Unit Testing: Executive Briefing,PSL1430286303.00,Online Course,Completed,6/15/2026,6/15/2026,,,1
What It Takes to Lead Your Team Through Turbulence,8259015,Online Course,Completed,6/15/2026,6/15/2026,1070,Seconds,1
Your People Are Not All Right: How to Read Cues and Provide Help,27508020,Online Course,Completed,6/15/2026,6/15/2026,991,Seconds,1
How to Use AI for Upskilling and Lifelong Learning,3980811,Online Course,Completed,6/10/2026,6/10/2026,2346,Seconds,1
Make AI Your Career Advantage with Ryan Roslansky and Aneesh Raman,8875090,Online Course,Completed,6/10/2026,6/10/2026,3384,Seconds,1
Strategic Foundations of GenAI for Higher Education Leaders,4022120,Online Course,Completed,6/10/2026,6/10/2026,2657,Seconds,1
"The AI Agent Landscape: Use Cases, Risks, and Impact",2738223,Online Course,Completed,6/10/2026,6/10/2026,5699,Seconds,1
Uncertainty to Action: Starting Your AI Learning Journey,3984162,Online Course,Completed,6/10/2026,6/10/2026,2356,Seconds,1
Building an Adaptability Mindset in the Age of AI,5956083,Online Course,Completed,6/9/2026,6/9/2026,1563,Seconds,1
5G and Edge Computing: Executive Briefing,PSL7566.00,Online Course,Completed,6/8/2026,6/8/2026,,,1
Automation: Executive Briefing,PSL7151.00,Online Course,Completed,6/8/2026,6/8/2026,,,1
Building AI-Powered Browser Agents with Playwright and Large Language Models,7619000,Online Course,Completed,6/8/2026,6/8/2026,2877,Seconds,1
Claude Code: Designing Multi-Model AI Systems,5675005,Online Course,Completed,6/8/2026,6/8/2026,7533,Seconds,1
Cloud Migrations: Executive Briefing,PSL5136.00,Online Course,Completed,6/8/2026,6/8/2026,,,1
Cloud Technologies: Executive Briefing,PSL2130869233.00,Online Course,Completed,6/8/2026,6/8/2026,,,1
DevOps Explained,PSL82983.00,Online Course,Completed,6/8/2026,6/8/2026,2238,Seconds,1
Enterprise Platforms: Executive Briefing,PSL6343.00,Online Course,Completed,6/8/2026,6/8/2026,,,1
Evaluating and Controlling Cloud Costs: Executive Briefing,PSL1946328353.00,Online Course,Completed,6/8/2026,6/8/2026,,,1
Internet of Things (IoT): Executive Briefing,PSL1927538957.00,Online Course,Completed,6/8/2026,6/8/2026,,,1
Managing IT Services with ITIL®: Executive Briefing,PSL9870.00,Online Course,Completed,6/8/2026,6/8/2026,,,1
Microservices Architecture: Executive Briefing,PSL1331595500.00,Online Course,Completed,6/8/2026,6/8/2026,,,1
Microsoft Azure: Executive Briefing,PSL6735.00,Online Course,Completed,6/8/2026,6/8/2026,,,1
OpenAI Codex 101: From Idea to Deployed App,8850025,Online Course,Completed,6/8/2026,6/8/2026,4165,Seconds,1
RPA & Workflow Automation: Executive Briefing,PSL473949604.00,Online Course,Completed,6/8/2026,6/8/2026,,,1
A Better Way to Avoid Project Delays,8252000,Online Course,Completed,6/1/2026,6/1/2026,562,Seconds,1
Agentic AI Human-Agent Collaboration Design Patterns,5208204,Online Course,Completed,6/1/2026,6/1/2026,3669,Seconds,1
AI and Generative AI Explained,PSL87864.00,Online Course,Completed,6/1/2026,6/1/2026,4453,Seconds,1
Blockchain: Executive Briefing,PSL123962043.00,Online Course,Completed,6/1/2026,6/1/2026,,,1
Chatbots Explained,PSL88040.00,Online Course,Completed,6/1/2026,6/1/2026,2103,Seconds,1
Claude Code 101: From Prompt to Product,8251000,Online Course,Completed,6/1/2026,6/1/2026,3517,Seconds,1
Cloud: Executive Briefing,PSL675623160.00,Online Course,Completed,6/1/2026,6/1/2026,,,1
Communicating Data through Storytelling: Executive Briefing,PSL1778369233.00,Online Course,Completed,6/1/2026,6/1/2026,,,1
Critical and Analytical Thinking Skills in Data Literacy: Executive Briefing,PSL402605766.00,Online Course,Completed,6/1/2026,6/1/2026,,,1
Data in the Cloud: Executive Briefing,PSL8098.00,Online Course,Completed,6/1/2026,6/1/2026,,,1
Data Science Explained,PSL84136.00,Online Course,Completed,6/1/2026,6/1/2026,1596,Seconds,1
How Nesting Changes Platform Strategy,8243020,Online Course,Completed,6/1/2026,6/1/2026,1603,Seconds,1
How to Profit From Retro-Innovation,8257015,Online Course,Completed,6/1/2026,6/1/2026,784,Seconds,1
Leadership Stories: 5-Minute Lessons in Leading People,689764,Online Course,Completed,10/29/2018,6/1/2026,11263,Seconds,1
LinkedIn Learning Live: Leading a Six-Generation Workforce,8720000,Online Course,Completed,6/1/2026,6/1/2026,2806,Seconds,1
Making Data-informed Decisions: Executive Briefing,PSL1077110304.00,Online Course,Completed,6/1/2026,6/1/2026,,,1
Microsoft Certified: Azure Data Scientist Associate (DP-100),S9201875,Online Course,Completed,,6/1/2026,10800,Seconds,1
Quantum Computing: Executive Briefing,PSL9646.00,Online Course,Completed,6/1/2026,6/1/2026,,,1
Recognizing the Need for Data Literacy: Executive Briefing,PSL1433719445.00,Online Course,Completed,6/1/2026,6/1/2026,,,1
Red Teaming for Generative AI: Building Robust and Responsible Solutions,2014247,Online Course,Completed,6/1/2026,6/1/2026,1652,Seconds,1
The Case for Lean Cybersecurity Leadership,8255013,Online Course,Completed,6/1/2026,6/1/2026,647,Seconds,1
The High Cost of Executives’ Intellectual Property Blind Spots,8261011,Online Course,Completed,6/1/2026,6/1/2026,1102,Seconds,1
The Language of Data: Executive Briefing,PSL311470562.00,Online Course,Completed,6/1/2026,6/1/2026,,,1
The Perils of Algorithmic Pricing,27509016,Online Course,Completed,6/1/2026,6/1/2026,1104,Seconds,1
Utilizing Insights and Observations with Data: Executive Briefing,PSL1736463611.00,Online Course,Completed,6/1/2026,6/1/2026,,,1
What AI Can Teach Us about Designing Better KPIs,8238011,Online Course,Completed,6/1/2026,6/1/2026,1258,Seconds,1
What's Next in AI with Bernard Marr,8724000,Online Course,Completed,6/1/2026,6/1/2026,2698,Seconds,1
Why Salespeople Fear Pitching Radical Innovation,8260036,Online Course,Completed,6/1/2026,6/1/2026,664,Seconds,1
Benefits of GitHub Community,2707110,Online Course,Completed,5/25/2026,5/25/2026,858,Seconds,1
Big Data Explained,PSL84049.00,Online Course,Completed,5/25/2026,5/25/2026,1900,Seconds,1
